sitecode,0
AB,"Albuquerque, NM (AB)"
CC,"Clark County, NV (CC)"
CE,"Cleveland, OH (CE)"
CH,"Chicago, IL (CH)"
CM,"Charlotte-Mecklenburg County, NC (CM)"
DA,"Dallas, TX (DA)"
DU,"Duval County, FL (DU)"
EA,"Eaton Consortium, MI (EA)"
FT,"Broward County, FL (FT)"
FW,"Fort Worth, TX (FW)"
GE,"Genesee Consortium, MI (GE)"
GS,"Gaston County, NC (GS)"
HL,"Hillsborough County, FL (HL)"
LO,"Los Angeles, CA (LO)"
ML,"Milwaukee, WI (ML)"
MM,"Miami-Dade County, FL (MM)"
NO,"New Orleans, LA (NO)"
NW,"Newark, NJ (NW)"
NYC,"New York City, NY (NYC)"
NYG,"Borough of Bronx, NY (NYG)"
NYH,"Borough of Brooklyn, NY (NYH)"
NYI,"Borough of Manhattan, NY (NYI)"
NYJ,"Borough of Queens, NY (NYJ)"
NYK,"Borough of Staten Island, NY (NYK)"
OA,"Oakland, CA (OA)"
OL,"Orange County, FL (OL)"
PB,"Palm Beach County, FL (PB)"
PH,"Philadelphia, PA (PH)"
PO,"Portland, OR (PO)"
PS,"Pasco County, FL (PS)"
SA,"San Diego, CA (SA)"
SB,"San Bernardino, CA (SB)"
SE,"Seattle, WA (SE)"
SF,"San Francisco, CA (SF)"
SP,"Spartanburg County, SC (SP)"
ST,"Shelby County, TN (ST)"
